BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA633940	SRR11814790	SAMN14917291	NA	seed	late grain filling stage	Hongniangu 43.60 N 118.05 E	RNA_B105	NA	cultivar:Hongniangu_43.60_N_118.05_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814791	SAMN14917290	NA	seed	late grain filling stage	Hongmiaoqitouhong 43.60 N 118.05 E	RNA_B104	NA	cultivar:Hongmiaoqitouhong_43.60_N_118.05_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814792	SAMN14917289	NA	seed	late grain filling stage	Yazizui 42.68 N 126.03 E	RNA_B103	NA	cultivar:Yazizui_42.68_N_126.03_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814793	SAMN14917317	NA	seed	late grain filling stage	Liushitianhuanjia 45.62 N 122.84 E	RNA_B144	NA	cultivar:Liushitianhuanjia_45.62_N_122.84_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814794	SAMN14917316	NA	seed	late grain filling stage	Xiaojinsu 47.46 N 126.97 E	RNA_B141	NA	cultivar:Xiaojinsu_47.46_N_126.97_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814795	SAMN14917315	NA	seed	late grain filling stage	Yeguzi-1 35.69 N 105.06 E	RNA_B139	NA	cultivar:Yeguzi-1_35.69_N_105.06_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814796	SAMN14917314	NA	seed	late grain filling stage	Tie8396 42.30 N 123.84 E	RNA_B138	NA	cultivar:Tie8396_42.30_N_123.84_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814797	SAMN14917313	NA	seed	late grain filling stage	9-Mar 43.89 N 125.32 E	RNA_B137	NA	cultivar:9-Mar_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814798	SAMN14917312	NA	seed	late grain filling stage	Longfu60533 45.74 N 126.64 E	RNA_B136	NA	cultivar:Longfu60533_45.74_N_126.64_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814799	SAMN14917311	NA	seed	late grain filling stage	Mulengbaishagu 44.58 N 129.60 E	RNA_B133	NA	cultivar:Mulengbaishagu_44.58_N_129.60_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814800	SAMN14917497	NA	seed	late grain filling stage	Chaogu14 41.50 N 123.00 E	RNA_B386	NA	cultivar:Chaogu14_41.50_N_123.00_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814801	SAMN14917496	NA	seed	late grain filling stage	Baigu9 45.62 N 122.84 E	RNA_B385	NA	cultivar:Baigu9_45.62_N_122.84_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
