BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA658058	SRR12658945	SAMN15856756	control	leaf	NA	Hequ red millet	HC_3	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 3
PRJNA658058	SRR12658946	SAMN15856765	drought	leaf	NA	Yanshu No. 10	YD_3	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 3
PRJNA658058	SRR12658947	SAMN15856764	drought	leaf	NA	Yanshu No. 10	YD_2	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 2
PRJNA658058	SRR12658948	SAMN15856755	control	leaf	NA	Hequ red millet	HC_2	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 2
PRJNA658058	SRR12658949	SAMN15856754	control	leaf	NA	Hequ red millet	HC_1	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 1
PRJNA371752	SRR12659031	SAMN15856763	drought	leaf	NA	Yanshu No. 10	YD_1	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 1
PRJNA371752	SRR12659032	SAMN15856762	control	leaf	NA	Yanshu No. 10	YC_3	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 3
PRJNA371752	SRR12659033	SAMN15856761	control	leaf	NA	Yanshu No. 10	YC_2	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 2
PRJNA371752	SRR12659034	SAMN15856760	control	leaf	NA	Yanshu No. 10	YC_1	NA	cultivar:Yanshu No. 10; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 1
PRJNA371752	SRR12659035	SAMN15856759	drought	leaf	NA	Hequ red millet	HD_3	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 3
PRJNA371752	SRR12659036	SAMN15856758	drought	leaf	NA	Hequ red millet	HD_2	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 2
PRJNA371752	SRR12659037	SAMN15856757	drought	leaf	NA	Hequ red millet	HD_1	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:drought; replicate:biological replicate 1
PRJNA371752	SRR12659038	SAMN15856756	control	leaf	NA	Hequ red millet	HC_3	NA	cultivar:Hequ red millet; age:not collected; geo loc name:China:ShanXi; tissue:leaf; treatment:control; replicate:biological replicate 3
